ID,Class Label
1.bmp,2
2.bmp,3
3.bmp,4
4.bmp,5
5.bmp,6
6.bmp,7
7.bmp,9
8.bmp,10
9.bmp,11
10.bmp,12
11.bmp,14
12.bmp,15
13.bmp,16
14.bmp,17
15.bmp,19
16.bmp,20
17.bmp,2
18.bmp,3
19.bmp,4
20.bmp,5
21.bmp,6
22.bmp,7
23.bmp,9
24.bmp,10
25.bmp,11
26.bmp,12
27.bmp,14
28.bmp,15
29.bmp,16
30.bmp,17
31.bmp,19
32.bmp,20
33.bmp,2
34.bmp,3
35.bmp,4
36.bmp,5
37.bmp,6
38.bmp,7
39.bmp,9
40.bmp,10
41.bmp,11
42.bmp,12
43.bmp,14
44.bmp,15
45.bmp,16
46.bmp,17
47.bmp,19
48.bmp,20
49.bmp,2
50.bmp,3
51.bmp,4
52.bmp,5
53.bmp,6
54.bmp,7
55.bmp,9
56.bmp,10
57.bmp,11
58.bmp,12
59.bmp,14
60.bmp,15
61.bmp,16
62.bmp,17
63.bmp,19
64.bmp,20
65.bmp,2
66.bmp,3
67.bmp,4
68.bmp,5
69.bmp,6
70.bmp,7
71.bmp,9
72.bmp,10
73.bmp,11
74.bmp,12
75.bmp,14
76.bmp,15
77.bmp,16
78.bmp,17
79.bmp,19
80.bmp,20
81.bmp,2
82.bmp,3
83.bmp,4
84.bmp,5
85.bmp,6
86.bmp,7
87.bmp,9
88.bmp,10
89.bmp,11
90.bmp,12
91.bmp,14
92.bmp,15
93.bmp,16
94.bmp,17
95.bmp,19
96.bmp,20
97.bmp,2
98.bmp,3
99.bmp,4
100.bmp,5
101.bmp,6
102.bmp,7
103.bmp,9
104.bmp,10
105.bmp,11
106.bmp,12
107.bmp,14
108.bmp,15
109.bmp,16
110.bmp,17
111.bmp,19
112.bmp,20
113.bmp,2
114.bmp,3
115.bmp,4
116.bmp,5
117.bmp,6
118.bmp,7
119.bmp,9
120.bmp,10
121.bmp,11
122.bmp,12
123.bmp,14
124.bmp,15
125.bmp,16
126.bmp,17
127.bmp,19
128.bmp,20
129.bmp,2
130.bmp,3
131.bmp,4
132.bmp,5
133.bmp,6
134.bmp,7
135.bmp,9
136.bmp,10
137.bmp,11
138.bmp,12
139.bmp,14
140.bmp,15
141.bmp,16
142.bmp,17
143.bmp,19
144.bmp,20
145.bmp,2
146.bmp,3
147.bmp,4
148.bmp,5
149.bmp,6
150.bmp,7
151.bmp,9
152.bmp,10
153.bmp,11
154.bmp,12
155.bmp,14
156.bmp,15
157.bmp,16
158.bmp,17
159.bmp,19
160.bmp,20
161.bmp,2
162.bmp,3
163.bmp,4
164.bmp,5
165.bmp,6
166.bmp,7
167.bmp,9
168.bmp,10
169.bmp,11
170.bmp,12
171.bmp,14
172.bmp,15
173.bmp,16
174.bmp,17
175.bmp,19
176.bmp,20
177.bmp,2
178.bmp,3
179.bmp,4
180.bmp,5
181.bmp,6
182.bmp,7
183.bmp,9
184.bmp,10
185.bmp,11
186.bmp,12
187.bmp,14
188.bmp,15
189.bmp,16
190.bmp,17
191.bmp,19
192.bmp,20
193.bmp,2
194.bmp,3
195.bmp,4
196.bmp,5
197.bmp,6
198.bmp,7
199.bmp,9
200.bmp,10
201.bmp,11
202.bmp,12
203.bmp,14
204.bmp,15
205.bmp,16
206.bmp,17
207.bmp,19
208.bmp,20
209.bmp,2
210.bmp,3
211.bmp,4
212.bmp,5
213.bmp,6
214.bmp,7
215.bmp,9
216.bmp,10
217.bmp,11
218.bmp,12
219.bmp,14
220.bmp,15
221.bmp,16
222.bmp,17
223.bmp,19
224.bmp,20
225.bmp,2
226.bmp,3
227.bmp,4
228.bmp,5
229.bmp,6
230.bmp,7
231.bmp,9
232.bmp,10
233.bmp,11
234.bmp,12
235.bmp,14
236.bmp,15
237.bmp,16
238.bmp,17
239.bmp,19
240.bmp,20
241.bmp,2
242.bmp,3
243.bmp,4
244.bmp,5
245.bmp,6
246.bmp,7
247.bmp,9
248.bmp,10
249.bmp,11
250.bmp,12
251.bmp,14
252.bmp,15
253.bmp,16
254.bmp,17
255.bmp,19
256.bmp,20
257.bmp,2
258.bmp,3
259.bmp,4
260.bmp,5
261.bmp,6
262.bmp,7
263.bmp,9
264.bmp,10
265.bmp,11
266.bmp,12
267.bmp,14
268.bmp,15
269.bmp,16
270.bmp,17
271.bmp,19
272.bmp,20
273.bmp,2
274.bmp,3
275.bmp,4
276.bmp,5
277.bmp,6
278.bmp,7
279.bmp,9
280.bmp,10
281.bmp,11
282.bmp,12
283.bmp,14
284.bmp,15
285.bmp,16
286.bmp,17
287.bmp,19
288.bmp,20
289.bmp,2
290.bmp,3
291.bmp,4
292.bmp,5
293.bmp,6
294.bmp,7
295.bmp,9
296.bmp,10
297.bmp,11
298.bmp,12
299.bmp,14
300.bmp,15
301.bmp,16
302.bmp,17
303.bmp,19
304.bmp,20
305.bmp,2
306.bmp,3
307.bmp,4
308.bmp,5
309.bmp,6
310.bmp,9
311.bmp,10
312.bmp,11
313.bmp,12
314.bmp,14
315.bmp,15
316.bmp,16
317.bmp,17
318.bmp,19
319.bmp,20
320.bmp,2
321.bmp,3
322.bmp,4
323.bmp,5
324.bmp,6
325.bmp,9
326.bmp,10
327.bmp,11
328.bmp,12
329.bmp,14
330.bmp,15
331.bmp,16
332.bmp,17
333.bmp,19
334.bmp,20
335.bmp,2
336.bmp,3
337.bmp,4
338.bmp,5
339.bmp,6
340.bmp,9
341.bmp,10
342.bmp,11
343.bmp,12
344.bmp,13
345.bmp,14
346.bmp,15
347.bmp,16
348.bmp,17
349.bmp,19
350.bmp,20
351.bmp,2
352.bmp,3
353.bmp,4
354.bmp,5
355.bmp,6
356.bmp,9
357.bmp,10
358.bmp,11
359.bmp,12
360.bmp,13
361.bmp,14
362.bmp,15
363.bmp,16
364.bmp,17
365.bmp,19
366.bmp,20
367.bmp,2
368.bmp,3
369.bmp,4
370.bmp,5
371.bmp,6
372.bmp,9
373.bmp,10
374.bmp,11
375.bmp,12
376.bmp,13
377.bmp,14
378.bmp,15
379.bmp,16
380.bmp,17
381.bmp,19
382.bmp,20
383.bmp,2
384.bmp,3
385.bmp,4
386.bmp,5
387.bmp,6
388.bmp,9
389.bmp,10
390.bmp,11
391.bmp,12
392.bmp,13
393.bmp,14
394.bmp,15
395.bmp,16
396.bmp,17
397.bmp,19
398.bmp,20
399.bmp,2
400.bmp,3
401.bmp,4
402.bmp,5
403.bmp,6
404.bmp,9
405.bmp,10
406.bmp,11
407.bmp,12
408.bmp,13
409.bmp,14
410.bmp,15
411.bmp,16
412.bmp,17
413.bmp,19
414.bmp,20
415.bmp,2
416.bmp,3
417.bmp,4
418.bmp,5
419.bmp,6
420.bmp,9
421.bmp,10
422.bmp,11
423.bmp,12
424.bmp,13
425.bmp,14
426.bmp,15
427.bmp,16
428.bmp,17
429.bmp,19
430.bmp,20
431.bmp,2
432.bmp,3
433.bmp,4
434.bmp,5
435.bmp,6
436.bmp,9
437.bmp,10
438.bmp,11
439.bmp,12
440.bmp,13
441.bmp,14
442.bmp,15
443.bmp,16
444.bmp,17
445.bmp,19
446.bmp,20
447.bmp,2
448.bmp,3
449.bmp,4
450.bmp,5
451.bmp,6
452.bmp,9
453.bmp,10
454.bmp,11
455.bmp,12
456.bmp,13
457.bmp,14
458.bmp,15
459.bmp,16
460.bmp,17
461.bmp,19
462.bmp,20
463.bmp,2
464.bmp,3
465.bmp,4
466.bmp,5
467.bmp,6
468.bmp,9
469.bmp,10
470.bmp,11
471.bmp,12
472.bmp,13
473.bmp,14
474.bmp,15
475.bmp,16
476.bmp,17
477.bmp,19
478.bmp,20
479.bmp,2
480.bmp,3
481.bmp,4
482.bmp,5
483.bmp,6
484.bmp,9
485.bmp,10
486.bmp,11
487.bmp,12
488.bmp,13
489.bmp,14
490.bmp,15
491.bmp,16
492.bmp,17
493.bmp,19
494.bmp,20
495.bmp,2
496.bmp,3
497.bmp,4
498.bmp,5
499.bmp,6
500.bmp,9
501.bmp,10
502.bmp,11
503.bmp,12
504.bmp,13
505.bmp,14
506.bmp,15
507.bmp,16
508.bmp,17
509.bmp,19
510.bmp,20
511.bmp,2
512.bmp,3
513.bmp,4
514.bmp,5
515.bmp,6
516.bmp,9
